WBS_Name,Activity_ID,Activity_Name,Duration_Days,Predecessor_ID,BOQ_Code,Crew_ID
"7.2 Testing, Commissioning Support & Handover",A7470,Rectify all Outstanding Punch List Items,34,A7460,3.2.2,CR-DEMO-01
"7.2 Testing, Commissioning Support & Handover",A7480,Handover & Completion Phase**,20,START,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7490,Post-Completion & Project Close-Out**,30,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7500,WBS: 7.3 As-Built Documentation & Contract Demobilization**,30,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7510,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,5,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7520,As-Built & Handover Documentation**,20,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7530,"Compile all field survey data, red-line markups, and quality inspection records.",5,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7540,"Prepare and draft As-Built drawings (Civil, Structural, Architectural).",20,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7550,"Prepare and draft As-Built drawings (MEP, Utilities, and Specialist Systems).",30,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7560,"Compile all supplier/subcontractor warranties, guarantees, and material certificates.",10,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7570,Compile all Testing and Commissioning reports into a final handover package.,5,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7580,Prepare draft Operation & Maintenance (O&M) Manuals.,30,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7590,Consolidate and submit the complete As-Built and O&M documentation package for Client/Engineer review.,10,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7600,Incorporate Client/Engineer comments on all submitted documentation.,5,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7610,"Submit final, approved As-Built drawings and Handover documentation.",0,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7620,Site Demobilization & Reinstatement**,30,START,1.1.2,CR-BLDG-01
7.3 As-Built Documentation & Contract Demobilization,A7630,Prepare and submit the Site Demobilization & Reinstatement Plan for approval.,10,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7640,Conduct final joint site inspection (walk-down) with Client/Engineer to generate a final punch list (snag list).,1,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7650,Rectify all items on the final punch list to the satisfaction of the Engineer.,50,START,4.3.1,CR-EREC-02
7.3 As-Built Documentation & Contract Demobilization,A7660,"Dismantle and remove all temporary site offices, welfare facilities, and storage containers.",30,START,1.1.2,CR-BLDG-01
7.3 As-Built Documentation & Contract Demobilization,A7670,"Demobilize and remove all contractor plant, equipment, and machinery from the site.",34,START,3.2.2,CR-DEMO-01
7.3 As-Built Documentation & Contract Demobilization,A7680,"Disconnect and remove all temporary utilities (power, water, drainage).",34,START,3.2.2,CR-DEMO-01
7.3 As-Built Documentation & Contract Demobilization,A7690,"Remove all surplus construction materials, scrap, and waste from the site.",34,START,3.2.2,CR-DEMO-01
7.3 As-Built Documentation & Contract Demobilization,A7700,Complete final site grading and reinstatement as per contract requirements.,25,START,1.1.4,CR-ROAD-01
7.3 As-Built Documentation & Contract Demobilization,A7710,Obtain formal sign-off for punch list completion and site reinstatement.,0,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7720,Contract & Commercial Close-Out**,30,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7730,Apply for and obtain the Certificate of Substantial Completion / Taking-Over Certificate.,0,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7740,Prepare and submit the draft Final Account and application for final payment.,10,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7750,Negotiate and agree on the Final Account with the Client/Commercial team.,20,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7760,Submit all required documentation for the release of retention monies.,10,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7770,Obtain the Final Acceptance Certificate (FAC) from the Client.,0,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7780,Secure the release of all performance bonds and bank guarantees.,0,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7790,"Archive all project documentation, correspondence, and financial records.",10,START,N/A,N/A
7.3 As-Built Documentation & Contract Demobilization,A7800,Final Contract Close-Out.,30,START,N/A,N/A
